id,title,question,answer
q1,What is menstruation?,What is menstruation?,"Menstruation (period) is the monthly shedding of the uterine lining. It's a natural biological process showing that the body is releasing the lining when a pregnancy hasn't occurred. Typical cycles are about 21-35 days; bleeding usually lasts 2-7 days. If you feel confused or have heavy pain or very heavy bleeding, see a healthcare provider."
q2,Why do girls get periods?,Why do girls get periods?,"Girls get periods because of hormonal cycles that prepare the womb each month. If no pregnancy occurs, the lining sheds and is released as menstrual blood."
q3,At what age do periods usually start?,At what age do periods usually start?,"Periods commonly start between ages 9 and 16. Many start around 11–13, but a bit earlier or later can still be normal."
q4,Pain and cramps,Why do I get cramps during periods?,"Cramps happen because the uterus tightens to help shed its lining. Mild cramps are common and may be eased with heat (hot water bottle), gentle exercise, ibuprofen (following dose guidance), and relaxation techniques. If severe, speak to a doctor."
q5,Hygiene,How often should I change my pad?,"Change sanitary pads every 4-6 hours or sooner if soaked. If using tampons, follow the product’s instructions and never leave one in longer than recommended (usually 4-8 hours)."
q6,Unexpected periods,What should I do if my period starts at school unexpectedly?,"Stay calm. Go to the restroom, clean up with water or sanitary wipes, change into a pad or tampon, tie a sweater around the waist if there's a stain, and ask a teacher or friend for a sanitary pad if you don't have one. Schools often have supplies available."
q7,Heavy flow,My flow is very heavy — is that normal?,"Some variation is normal, but if you need to change pads/tampons every hour for several hours, pass very large clots, or feel faint, see a doctor — it could indicate a condition that needs treatment."
q8,Emotional symptoms,Why do I feel sad or angry before my period?,"Mood changes before a period are common (PMS). Balanced diet, sleep, gentle exercise, and tracking symptoms help. If mood swings are severe, talk with a health professional."
q9,Swimming,Can I swim during my period?,"Yes — you can swim. Use a tampon or menstrual cup for comfort and to avoid staining. Change or remove these after the recommended time."
q10,First period,How do I know if I’m about to get my first period?,"Common signs: light spotting, breast tenderness, cramps, and mood changes. Keep pads ready and talk to a trusted adult about what to expect."
